row,column,marker,perturbation,timepoint,replicate
B,2,SRC,EGF,0,3
B,3,MAP2K6,EGF,0,3
B,4,SRC,EGF,5,3
B,5,MAP2K6,EGF,5,3
B,6,SRC,EGF,15,3
B,7,MAP2K6,EGF,15,3
B,8,SRC,EGF,30,3
B,9,MAP2K6,EGF,30,3
B,10,SRC,EGF,60,3
B,11,MAP2K6,EGF,60,3
C,2,PDPK1,EGF,0,3
C,3,MAPK14,EGF,0,3
C,4,PDPK1,EGF,5,3
C,5,MAPK14,EGF,5,3
C,6,PDPK1,EGF,15,3
C,7,MAPK14,EGF,15,3
C,8,PDPK1,EGF,30,3
C,9,MAPK14,EGF,30,3
C,10,PDPK1,EGF,60,3
C,11,MAPK14,EGF,60,3
D,2,AKT1,EGF,0,3
D,3,MAPK1,EGF,0,3
D,4,AKT1,EGF,5,3
D,5,MAPK1,EGF,5,3
D,6,AKT1,EGF,15,3
D,7,MAPK1,EGF,15,3
D,8,AKT1,EGF,30,3
D,9,MAPK1,EGF,30,3
D,10,AKT1,EGF,60,3
D,11,MAPK1,EGF,60,3
E,2,GSK3B,EGF,0,3
E,3,RPS6KA1,EGF,0,3
E,4,GSK3B,EGF,5,3
E,5,RPS6KA1,EGF,5,3
E,6,GSK3B,EGF,15,3
E,7,RPS6KA1,EGF,15,3
E,8,GSK3B,EGF,30,3
E,9,RPS6KA1,EGF,30,3
E,10,GSK3B,EGF,60,3
E,11,RPS6KA1,EGF,60,3
F,2,CRAF,EGF,0,3
F,3,GFP-FLAG-1,EGF,0,3
F,4,CRAF,EGF,5,3
F,5,GFP-FLAG-1,EGF,5,3
F,6,CRAF,EGF,15,3
F,7,GFP-FLAG-1,EGF,15,3
F,8,CRAF,EGF,30,3
F,9,GFP-FLAG-1,EGF,30,3
F,10,CRAF,EGF,60,3
F,11,GFP-FLAG-1,EGF,60,3
G,2,MAP2K7,EGF,0,3
G,3,empty-1,EGF,0,3
G,4,MAP2K7,EGF,5,3
G,5,empty-1,EGF,5,3
G,6,MAP2K7,EGF,15,3
G,7,empty-1,EGF,15,3
G,8,MAP2K7,EGF,30,3
G,9,empty-1,EGF,30,3
G,10,MAP2K7,EGF,60,3
G,11,empty-1,EGF,60,3
